,C,Classifier,Dataset,accuracy
320,,FastShapelet,InlineSkate,
321,,FastShapelet,ItalyPowerDemand,0.905
322,,FastShapelet,Lightning2,0.705
323,,FastShapelet,Lightning7,0.597
324,,FastShapelet,MALLAT,0.9670000000000001
325,,FastShapelet,MedicalImages,0.5670000000000001
326,,FastShapelet,MoteStrain,0.7829999999999999
327,,FastShapelet,OSULeaf,0.6409999999999999
328,,FastShapelet,OliveOil,0.787
329,,FastShapelet,SonyAIBORobotSurface,0.6859999999999999
330,,FastShapelet,SonyAIBORobotSurfaceII,0.785
331,,FastShapelet,StarLightCurves,
332,,FastShapelet,SwedishLeaf,0.731
333,,FastShapelet,Symbols,0.932
334,,FastShapelet,Trace,0.998
335,,FastShapelet,TwoLeadECG,0.91
336,,FastShapelet,Two_Patterns,0.887
337,,FastShapelet,WordsSynonyms,
338,,FastShapelet,synthetic_control,0.919
339,,FastShapelet,uWaveGestureLibrary_X,
340,,FastShapelet,uWaveGestureLibrary_Y,
341,,FastShapelet,uWaveGestureLibrary_Z,
342,,FastShapelet,wafer,0.996
343,,FastShapelet,yoga,0.7509999999999999
344,,SAX-VSM,50words,
345,,SAX-VSM,Adiac,0.619
346,,SAX-VSM,Beef,0.967
347,,SAX-VSM,CBF,0.98
348,,SAX-VSM,ChlorineConcentration,
349,,SAX-VSM,CinC_ECG_torso,
350,,SAX-VSM,Coffee,1.0
351,,SAX-VSM,Cricket_X,
352,,SAX-VSM,Cricket_Y,
353,,SAX-VSM,Cricket_Z,
354,,SAX-VSM,DiatomSizeReduction,
355,,SAX-VSM,ECG200,0.86
356,,SAX-VSM,ECGFiveDays,
357,,SAX-VSM,FaceAll,0.793
358,,SAX-VSM,FaceFour,1.0
359,,SAX-VSM,FacesUCR,
360,,SAX-VSM,Fish,0.983
361,,SAX-VSM,Gun_Point,0.993
362,,SAX-VSM,Haptics,
363,,SAX-VSM,InlineSkate,
364,,SAX-VSM,ItalyPowerDemand,
365,,SAX-VSM,Lightning2,0.804
366,,SAX-VSM,Lightning7,0.6990000000000001
367,,SAX-VSM,MALLAT,
368,,SAX-VSM,MedicalImages,
369,,SAX-VSM,MoteStrain,
370,,SAX-VSM,OSULeaf,0.893
371,,SAX-VSM,OliveOil,0.9
372,,SAX-VSM,SonyAIBORobotSurface,
373,,SAX-VSM,SonyAIBORobotSurfaceII,
374,,SAX-VSM,StarLightCurves,
375,,SAX-VSM,SwedishLeaf,0.749
376,,SAX-VSM,Symbols,
377,,SAX-VSM,Trace,1.0
378,,SAX-VSM,TwoLeadECG,
379,,SAX-VSM,Two_Patterns,0.996
380,,SAX-VSM,WordsSynonyms,
381,,SAX-VSM,synthetic_control,0.99
382,,SAX-VSM,uWaveGestureLibrary_X,
383,,SAX-VSM,uWaveGestureLibrary_Y,
384,,SAX-VSM,uWaveGestureLibrary_Z,
385,,SAX-VSM,wafer,0.9994
386,,SAX-VSM,yoga,0.8360000000000001
387,,ShapeletTransformEnsemble,50words,0.7190000000000001
388,,ShapeletTransformEnsemble,Adiac,0.565
389,,ShapeletTransformEnsemble,Beef,0.833
390,,ShapeletTransformEnsemble,CBF,0.997
391,,ShapeletTransformEnsemble,ChlorineConcentration,0.7
392,,ShapeletTransformEnsemble,CinC_ECG_torso,0.846
393,,ShapeletTransformEnsemble,Coffee,1.0
394,,ShapeletTransformEnsemble,Cricket_X,0.782
395,,ShapeletTransformEnsemble,Cricket_Y,0.764
396,,ShapeletTransformEnsemble,Cricket_Z,0.772
397,,ShapeletTransformEnsemble,DiatomSizeReduction,0.8759999999999999
398,,ShapeletTransformEnsemble,ECG200,
399,,ShapeletTransformEnsemble,ECGFiveDays,0.9990000000000001
400,,ShapeletTransformEnsemble,FaceAll,0.737
401,,ShapeletTransformEnsemble,FaceFour,0.943
402,,ShapeletTransformEnsemble,FacesUCR,0.9129999999999999
403,,ShapeletTransformEnsemble,Fish,0.977
404,,ShapeletTransformEnsemble,Gun_Point,
405,,ShapeletTransformEnsemble,Haptics,0.4770000000000001
406,,ShapeletTransformEnsemble,InlineSkate,0.385
407,,ShapeletTransformEnsemble,ItalyPowerDemand,0.9520000000000001
408,,ShapeletTransformEnsemble,Lightning2,0.6559999999999999
409,,ShapeletTransformEnsemble,Lightning7,0.74
410,,ShapeletTransformEnsemble,MALLAT,0.94
411,,ShapeletTransformEnsemble,MedicalImages,0.604
